1.1;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95
0;297.8;297.92;298.29;298.9;299.76;300.87;302.24;303.89;305.83;308.09;310.7;313.67;316.98;320.63;324.57;328.81;333.34;338.16;343.26;348.67
500;294.57;294.69;295.05;295.65;296.5;297.6;298.96;300.59;302.51;304.73;307.29;310.21;313.48;317.07;320.96;325.15;329.63;334.4;339.45;344.78
1000;291.33;291.45;291.81;292.41;293.25;294.34;295.68;297.3;299.19;301.39;303.91;306.78;309.99;313.52;317.35;321.49;325.91;330.63;335.63;340.9
1500;288.09;288.21;288.56;289.16;289.99;291.07;292.41;294.01;295.88;298.06;300.55;303.38;306.52;309.99;313.76;317.83;322.2;326.86;331.81;337.03
2000;284.86;284.98;285.33;285.91;286.74;287.81;289.13;290.71;292.57;294.73;297.2;299.99;303.09;306.48;310.18;314.19;318.49;323.09;327.98;333.15
2500;281.63;281.74;282.09;282.68;283.49;284.55;285.86;287.43;289.27;291.4;293.85;296.61;299.67;303.01;306.63;310.56;314.8;319.33;324.15;329.26
3000;278.39;278.51;278.85;279.43;280.25;281.3;282.6;284.15;285.98;288.09;290.52;293.24;296.26;299.55;303.11;306.96;311.12;315.58;320.33;325.37
3500;275.16;275.27;275.61;276.19;276.99;278.04;279.33;280.87;282.68;284.78;287.18;289.89;292.86;296.1;299.62;303.4;307.47;311.84;316.52;321.49
4000;271.92;272.03;272.37;272.94;273.74;274.77;276.05;277.58;279.38;281.46;283.85;286.52;289.47;292.68;296.13;299.85;303.84;308.13;312.72;317.61
4500;268.67;268.79;269.12;269.68;270.48;271.51;272.78;274.3;276.08;278.14;280.51;283.16;286.07;289.25;292.67;296.33;300.26;304.45;308.94;313.75
5000;265.43;265.54;265.87;266.43;267.21;268.24;269.49;271;272.77;274.82;277.17;279.79;282.67;285.81;289.19;292.82;296.69;300.82;305.2;309.9
5500;262.17;262.28;262.61;263.17;263.95;264.96;266.21;267.7;269.46;271.5;273.82;276.41;279.27;282.37;285.71;289.3;293.13;297.2;301.52;306.1
6000;258.91;259.02;259.35;259.9;260.67;261.68;262.92;264.4;266.15;268.17;270.47;273.03;275.86;278.92;282.23;285.77;289.56;293.58;297.84;302.35
6500;255.65;255.76;256.08;256.63;257.39;258.39;259.62;261.1;262.83;264.83;267.11;269.65;272.44;275.47;278.74;282.24;285.99;289.96;294.17;298.62
7000;252.42;252.53;252.84;253.37;254.12;255.1;256.32;257.78;259.5;261.49;263.75;266.26;269.02;272.02;275.25;278.71;282.4;286.34;290.5;294.89
7500;249.2;249.3;249.62;250.14;250.88;251.84;253.04;254.47;256.17;258.14;260.37;262.86;265.59;268.55;271.75;275.17;278.82;282.7;286.82;291.16
8000;245.98;246.08;246.39;246.91;247.64;248.59;249.77;251.19;252.85;254.78;256.99;259.46;262.16;265.09;268.24;271.62;275.23;279.07;283.13;287.42
8500;242.77;242.87;243.17;243.69;244.41;245.35;246.51;247.91;249.56;251.46;253.62;256.04;258.71;261.61;264.73;268.07;271.64;275.43;279.44;283.67
9000;239.55;239.65;239.96;240.46;241.18;242.1;243.25;244.64;246.27;248.15;250.28;252.65;255.26;258.12;261.21;264.51;268.04;271.78;275.74;279.92
9500;236.34;236.44;236.74;237.24;237.95;238.86;240;241.37;242.98;244.84;246.94;249.28;251.84;254.63;257.68;260.94;264.43;268.13;272.04;276.17
10000;233.13;233.23;233.53;234.02;234.72;235.62;236.75;238.1;239.69;241.53;243.6;245.9;248.43;251.18;254.14;257.36;260.81;264.46;268.33;272.41
10500;229.92;230.02;230.31;230.8;231.49;232.39;233.5;234.83;236.4;238.22;240.26;242.53;245.02;247.73;250.65;253.79;257.18;260.79;264.61;268.64
11000;226.69;226.78;227.07;227.56;228.25;229.14;230.25;231.57;233.12;234.91;236.93;239.16;241.61;244.28;247.16;250.25;253.56;257.11;260.88;264.86
11500;226.73;226.82;227.11;227.6;228.29;229.18;230.29;231.61;233.16;234.95;236.97;239.2;241.65;244.32;247.2;250.29;253.6;257.15;260.92;264.9
12000;226.77;226.86;227.15;227.64;228.33;229.22;230.33;231.65;233.2;234.99;237.01;239.24;241.69;244.36;247.24;250.33;253.63;257.19;260.96;264.94
12500;226.8;226.9;227.19;227.68;228.37;229.26;230.37;231.69;233.24;235.03;237.05;239.28;241.73;244.4;247.28;250.37;253.67;257.23;261;264.98
13000;226.84;226.94;227.23;227.72;228.41;229.3;230.41;231.73;233.28;235.07;237.08;239.32;241.77;244.44;247.31;250.41;253.71;257.27;261.04;265.02
13500;226.88;226.98;227.27;227.76;228.44;229.34;230.45;231.77;233.32;235.11;237.12;239.36;241.81;244.48;247.35;250.45;253.75;257.31;261.08;265.06
14000;226.92;227.02;227.31;227.8;228.48;229.38;230.48;231.81;233.36;235.15;237.16;239.4;241.85;244.51;247.39;250.49;253.79;257.35;261.12;265.1
1.05;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95
0;297.25;297.37;297.74;298.37;299.26;300.41;301.83;303.53;305.53;307.83;310.46;313.43;316.76;320.41;324.38;328.64;333.19;338.04;343.18;348.6
500;293.93;294.05;294.42;295.04;295.92;297.05;298.46;300.15;302.12;304.4;307.01;309.94;313.22;316.83;320.75;324.96;329.46;334.26;339.34;344.7
1000;290.61;290.74;291.1;291.71;292.57;293.69;295.08;296.75;298.71;300.97;303.54;306.45;309.7;313.25;317.12;321.28;325.73;330.47;335.5;340.8
1500;287.3;287.42;287.78;288.38;289.23;290.34;291.71;293.35;295.28;297.52;300.08;302.96;306.17;309.69;313.5;317.6;322;326.68;331.65;336.9
