1.1;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95
0;879.38;879.31;879.05;878.59;877.95;877.22;876.58;876.18;876.29;877.15;879.07;882.29;886.51;891.52;897;902.88;909.14;915.67;922.58;930.05
500;875.24;875.15;874.91;874.42;873.77;873.1;872.47;872.07;872.13;872.89;874.63;877.68;881.75;886.6;891.98;897.8;904;910.59;917.41;924.66
1000;870.98;870.89;870.62;870.17;869.58;868.96;868.39;868.04;868.09;868.81;870.45;873.3;877.14;881.79;886.99;892.71;898.87;905.38;912.27;919.37
1500;866.47;866.41;866.22;865.86;865.33;864.8;864.31;864.02;864.1;864.84;866.46;869.2;872.76;877.13;882.11;887.65;893.71;900.19;907.01;914.15
2000;862.01;861.95;861.78;861.52;861.08;860.61;860.16;859.96;860.12;860.92;862.59;865.28;868.67;872.71;877.38;882.69;888.57;894.94;901.73;908.86
2500;857.5;857.45;857.31;857.12;856.84;856.51;856.17;856.02;856.22;857.01;858.77;861.45;864.75;868.58;872.9;877.88;883.51;889.72;896.41;903.49
3000;852.87;852.83;852.73;852.61;852.42;852.24;852.08;852.05;852.38;853.3;855.12;857.7;860.92;864.62;868.7;873.3;878.6;884.57;891.11;898.11
3500;848.12;848.1;848.03;847.95;847.87;847.79;847.82;847.98;848.45;849.51;851.46;854.14;857.32;860.8;864.69;869.03;873.92;879.55;885.85;892.71
4000;843.41;843.4;843.35;843.3;843.29;843.27;843.38;843.76;844.44;845.65;847.73;850.48;853.74;857.24;860.95;864.96;869.55;874.75;880.72;887.35
4500;838.61;838.6;838.58;838.58;838.64;838.75;838.99;839.47;840.33;841.69;843.9;846.72;850.04;853.61;857.35;861.29;865.53;870.26;875.78;882.09
5000;833.75;833.74;833.74;833.77;833.87;834.1;834.47;835.11;836.14;837.75;840.07;842.88;846.26;849.87;853.68;857.64;861.8;866.26;871.18;877.02
5500;828.79;828.79;828.83;828.91;829.07;829.38;829.87;830.63;831.8;833.6;836.14;839.15;842.48;846.03;849.88;853.92;858.1;862.46;867.15;872.35
